,Image type,Image index,Distinctiveness type,RE type,Distinctiveness percentile,RE percentile
271,Filler,2577,N/A,N/A,54.87,15.02
272,Filler,4675,N/A,N/A,26.8,87.1
273,Filler,5382,N/A,N/A,15.72,75.12
274,Filler,5958,N/A,N/A,13.66,73.17
275,Filler,5998,N/A,N/A,32.77,3.68
276,Filler,5034,N/A,N/A,24.9,44.11
277,Filler,597,N/A,N/A,9.43,25.14
278,Filler,3969,N/A,N/A,74.55,24.4
279,Filler,6203,N/A,N/A,11.35,5.12
280,Filler,3262,N/A,N/A,82.29,23.01
281,Filler,5613,N/A,N/A,39.67,2.74
282,Filler,5621,N/A,N/A,6.43,23.82
283,Filler,613,N/A,N/A,50.6,30.54
284,Filler,6521,N/A,N/A,67.13,24.72
285,Filler,4785,N/A,N/A,0.1,41.57
286,Filler,4574,N/A,N/A,37.7,56.12
287,Filler,4952,N/A,N/A,24.93,45.27
288,Filler,4880,N/A,N/A,60.92,88.83
289,Filler,1097,N/A,N/A,59.28,94.4
290,Filler,2262,N/A,N/A,96.96,95.24
291,Filler,2720,N/A,N/A,12.25,6.86
292,Filler,676,N/A,N/A,59.92,69.92
293,Filler,4748,N/A,N/A,12.16,80.6
294,Filler,7652,N/A,N/A,95.28,81.52
295,Filler,3949,N/A,N/A,70.29,22.17
296,Filler,4679,N/A,N/A,57.34,85.46
297,Filler,6392,N/A,N/A,1.22,4.18
298,Filler,7193,N/A,N/A,42.13,92.1
299,Filler,2283,N/A,N/A,70.64,28.14
300,Filler,3773,N/A,N/A,21.89,70.9
301,Filler,6717,N/A,N/A,18.15,32.07
302,Filler,5179,N/A,N/A,65.87,28.9
303,Filler,6699,N/A,N/A,59.26,4.67
304,Filler,6301,N/A,N/A,20.25,4.39
305,Filler,3320,N/A,N/A,28.77,94.41
306,Filler,6009,N/A,N/A,13.54,67.35
307,Filler,4727,N/A,N/A,65.38,16.74
308,Filler,7958,N/A,N/A,32.39,15.8
309,Filler,3870,N/A,N/A,8.26,15.71
310,Filler,808,N/A,N/A,6.35,11.24
311,Filler,537,N/A,N/A,11.63,29.06
312,Filler,4901,N/A,N/A,10.8,56.96
313,Filler,6610,N/A,N/A,59.98,95.12
314,Filler,1886,N/A,N/A,97.68,91.66
315,Filler,7749,N/A,N/A,65.28,23.78
316,Filler,910,N/A,N/A,68.66,54.73
317,Filler,3106,N/A,N/A,3.99,35.88
318,Filler,7129,N/A,N/A,25.98,80.68
319,Filler,503,N/A,N/A,52.17,69.12
320,Filler,5108,N/A,N/A,72.98,92.77
321,Filler,1390,N/A,N/A,61.17,3.98
322,Filler,5338,N/A,N/A,46.15,31.54
323,Filler,4152,N/A,N/A,72.76,75.93
324,Filler,2278,N/A,N/A,30.22,40.38
325,Filler,2853,N/A,N/A,20.74,40.03
326,Filler,4188,N/A,N/A,30.2,58.61
327,Filler,7882,N/A,N/A,41.84,52.91
328,Filler,4351,N/A,N/A,30.15,6.83
329,Filler,6485,N/A,N/A,40.38,0.31
330,Filler,302,N/A,N/A,54.11,70.57
331,Filler,5457,N/A,N/A,78.74,41.05
332,Filler,749,N/A,N/A,0.12,33.05
333,Filler,648,N/A,N/A,81.06,94.08
334,Filler,7439,N/A,N/A,55.55,20.02
335,Filler,7222,N/A,N/A,13.04,13.8
336,Filler,1839,N/A,N/A,99.69,95.65
337,Filler,2133,N/A,N/A,22.72,48.65
338,Filler,3548,N/A,N/A,8.47,5.3
339,Filler,7702,N/A,N/A,7.41,35.18
340,Filler,2710,N/A,N/A,36.06,27.49
341,Filler,3937,N/A,N/A,37.8,32.34
342,Filler,85,N/A,N/A,38.82,6.33
343,Filler,2827,N/A,N/A,72.27,82.35
344,Filler,6826,N/A,N/A,0.79,0.32
345,Filler,758,N/A,N/A,90.11,75.83
346,Filler,6617,N/A,N/A,64.61,80.39
347,Filler,425,N/A,N/A,45.64,47.72
348,Filler,5753,N/A,N/A,55.68,58.08
349,Filler,5185,N/A,N/A,3.19,0.66
350,Filler,7031,N/A,N/A,81.43,85.43
351,Filler,6572,N/A,N/A,97.3,60.51
352,Filler,5475,N/A,N/A,90.73,49.15
353,Filler,3021,N/A,N/A,50.33,78.25
354,Filler,766,N/A,N/A,71.02,40.59
355,Filler,7765,N/A,N/A,14.01,40.46
356,Filler,1535,N/A,N/A,55.09,31.84
357,Filler,2422,N/A,N/A,41.29,90.32
358,Filler,1587,N/A,N/A,96.72,98.84
359,Filler,262,N/A,N/A,58.62,4.54
360,Filler,5320,N/A,N/A,30.65,41.28
361,Filler,5049,N/A,N/A,71.79,81.26
362,Filler,1986,N/A,N/A,2.88,34.12
363,Filler,4555,N/A,N/A,33.48,85.38
364,Filler,1294,N/A,N/A,42.52,79.83
365,Filler,599,N/A,N/A,10.25,85.64
366,Filler,4791,N/A,N/A,27.06,42.35
367,Filler,1706,N/A,N/A,98.06,99.7
368,Filler,4033,N/A,N/A,67.99,89.58
369,Filler,6012,N/A,N/A,90.63,61.82
370,Filler,6750,N/A,N/A,18.33,35.93
371,Filler,3871,N/A,N/A,35.41,63.92
372,Filler,1742,N/A,N/A,28.55,33.22
373,Filler,6935,N/A,N/A,56.12,41.67
374,Filler,4317,N/A,N/A,83.43,65.3
375,Filler,1081,N/A,N/A,90.09,28.66
376,Filler,3513,N/A,N/A,40.03,42.68
377,Filler,1481,N/A,N/A,71.56,25.41
378,Filler,6598,N/A,N/A,42.33,19.02
379,Filler,773,N/A,N/A,49.88,26.74
380,Filler,5907,N/A,N/A,86.37,81.97
381,Filler,2905,N/A,N/A,50.48,85.99
382,Filler,4174,N/A,N/A,64.67,84.89
383,Filler,3748,N/A,N/A,76.54,77.91
384,Filler,7179,N/A,N/A,88.73,78.6
385,Filler,1944,N/A,N/A,75.94,37.56
386,Filler,2334,N/A,N/A,2.08,3.61
387,Filler,6693,N/A,N/A,38.41,35.76
388,Filler,5,N/A,N/A,10.71,53.08
389,Filler,2575,N/A,N/A,4.58,56.17
390,Filler,3341,N/A,N/A,15.31,49.11
391,Filler,1846,N/A,N/A,61.89,40.23
392,Filler,5054,N/A,N/A,98.19,95.35
393,Filler,4598,N/A,N/A,1.29,1.13
394,Filler,2607,N/A,N/A,44.71,69.01
395,Filler,5881,N/A,N/A,16.22,17.82
396,Filler,2203,N/A,N/A,15.34,25.45
397,Filler,4386,N/A,N/A,17.23,15.39
398,Filler,4173,N/A,N/A,67.76,57.41
399,Filler,5595,N/A,N/A,28.43,80.85
400,Filler,2611,N/A,N/A,77.11,10.54
401,Filler,7815,N/A,N/A,90.57,93.63
402,Filler,5462,N/A,N/A,82.11,17.2
403,Filler,8034,N/A,N/A,11.42,10.15
404,Filler,6733,N/A,N/A,65.62,67.78
405,Filler,5749,N/A,N/A,74.42,57.21
406,Filler,3906,N/A,N/A,54.36,50.92
407,Filler,724,N/A,N/A,18.75,2.23
408,Filler,4908,N/A,N/A,20.11,53.36
409,Filler,7769,N/A,N/A,28.26,0.91
410,Filler,2792,N/A,N/A,27.56,77.17
411,Filler,579,N/A,N/A,4.14,60.28
412,Filler,7884,N/A,N/A,24.96,74.77
413,Filler,771,N/A,N/A,68.95,9.73
414,Filler,2613,N/A,N/A,34.28,90.68
415,Filler,4370,N/A,N/A,50.98,3.27
416,Filler,5223,N/A,N/A,81.15,47.48
417,Filler,4319,N/A,N/A,6.62,84.44
418,Filler,1230,N/A,N/A,42.48,44.21
419,Filler,8021,N/A,N/A,14.3,22.8
420,Filler,1749,N/A,N/A,99.22,42.11
421,Filler,695,N/A,N/A,79.99,44.69
422,Filler,5794,N/A,N/A,15.28,1.6
423,Filler,5661,N/A,N/A,30.64,83.29
424,Filler,5808,N/A,N/A,50.3,74.59
425,Filler,7772,N/A,N/A,41.05,83.34
426,Filler,1728,N/A,N/A,27.77,91.67
427,Filler,712,N/A,N/A,10.73,59.49
428,Filler,4827,N/A,N/A,21.17,24.78
429,Filler,7857,N/A,N/A,79.89,42.37
430,Filler,35,N/A,N/A,37.18,1.05
431,Filler,2177,N/A,N/A,5.59,19.47
432,Filler,6551,N/A,N/A,18.72,9.57
433,Filler,252,N/A,N/A,76.7,52.08
434,Filler,4506,N/A,N/A,27.1,75.26
435,Filler,1018,N/A,N/A,82.44,95.05
436,Filler,2129,N/A,N/A,29.23,82.04
437,Filler,1458,N/A,N/A,75.36,64.38
438,Filler,7710,N/A,N/A,73.05,25.96
439,Filler,369,N/A,N/A,89.82,46.85
440,Filler,4195,N/A,N/A,6.15,2.65
441,Filler,1845,N/A,N/A,4.31,73.19
442,Filler,5558,N/A,N/A,37.46,53.5
443,Filler,4090,N/A,N/A,92.82,72.58
444,Filler,561,N/A,N/A,23.51,78.65
445,Filler,380,N/A,N/A,16.06,7.11
446,Filler,4190,N/A,N/A,75.57,84.81
447,Filler,1263,N/A,N/A,19.04,17.08
448,Filler,1380,N/A,N/A,26.58,96.88
449,Filler,7343,N/A,N/A,98.92,99.03
450,Filler,6815,N/A,N/A,90.85,94.13
451,Filler,7218,N/A,N/A,25.08,8.38
452,Filler,5960,N/A,N/A,56.03,57.43
453,Filler,3596,N/A,N/A,67.33,66.73
454,Filler,6771,N/A,N/A,14.56,17.67
455,Filler,5335,N/A,N/A,94.85,98.47
456,Filler,4255,N/A,N/A,13.9,20.93
457,Filler,7486,N/A,N/A,98.5,95.07
458,Filler,3650,N/A,N/A,43.94,70.12
459,Filler,5483,N/A,N/A,13.99,35.47
460,Filler,7168,N/A,N/A,12.06,61.0
461,Filler,4805,N/A,N/A,51.01,13.33
462,Filler,490,N/A,N/A,39.79,79.55
463,Filler,3436,N/A,N/A,28.59,58.43
464,Filler,1366,N/A,N/A,65.66,40.83
465,Filler,2366,N/A,N/A,61.37,22.18
466,Filler,1130,N/A,N/A,90.44,63.23
467,Filler,3836,N/A,N/A,80.24,85.18
468,Filler,7315,N/A,N/A,54.74,11.67
469,Filler,6162,N/A,N/A,83.72,86.56
470,Filler,7022,N/A,N/A,86.85,72.96
471,Filler,224,N/A,N/A,53.18,25.16
472,Filler,6156,N/A,N/A,2.17,7.01
473,Filler,1916,N/A,N/A,63.97,17.99
474,Filler,250,N/A,N/A,90.04,97.45
475,Filler,651,N/A,N/A,1.64,1.22
476,Filler,3464,N/A,N/A,65.53,40.18
477,Filler,2632,N/A,N/A,7.04,7.27
478,Filler,2226,N/A,N/A,40.77,58.72
479,Filler,1525,N/A,N/A,2.09,3.35
480,Filler,1079,N/A,N/A,31.43,46.73
481,Filler,5857,N/A,N/A,26.93,30.99
482,Filler,687,N/A,N/A,14.78,70.76
483,Filler,2492,N/A,N/A,8.07,13.93
484,Filler,3169,N/A,N/A,75.06,69.62
485,Filler,5712,N/A,N/A,23.05,53.84
486,Filler,1652,N/A,N/A,89.07,64.39
487,Filler,1938,N/A,N/A,48.52,95.95
488,Filler,5077,N/A,N/A,97.21,74.55
489,Filler,7412,N/A,N/A,35.11,14.64
490,Filler,5532,N/A,N/A,78.46,63.15
491,Filler,5589,N/A,N/A,55.69,26.99
492,Filler,4395,N/A,N/A,27.91,88.97
493,Filler,520,N/A,N/A,61.93,18.36
494,Filler,6848,N/A,N/A,79.62,51.38
495,Filler,3226,N/A,N/A,54.22,21.58
496,Filler,7993,N/A,N/A,8.33,10.5
497,Filler,3414,N/A,N/A,60.29,75.42
498,Filler,5846,N/A,N/A,41.18,96.28
499,Filler,842,N/A,N/A,47.04,92.11
500,Filler,4524,N/A,N/A,94.53,90.22
501,Filler,431,N/A,N/A,10.08,16.28
502,Filler,1648,N/A,N/A,58.34,57.81
503,Filler,3630,N/A,N/A,64.96,90.29
504,Filler,3059,N/A,N/A,88.31,88.78
505,Filler,5225,N/A,N/A,47.76,61.29
506,Filler,7982,N/A,N/A,42.36,39.95
507,Filler,513,N/A,N/A,26.45,30.29
508,Filler,5224,N/A,N/A,34.18,15.1
509,Filler,3256,N/A,N/A,73.85,79.57
510,Filler,143,N/A,N/A,27.31,66.4
511,Filler,3370,N/A,N/A,68.69,71.77
512,Filler,5689,N/A,N/A,69.02,60.5
513,Filler,6987,N/A,N/A,49.44,38.86
514,Filler,6665,N/A,N/A,53.2,75.68
515,Filler,427,N/A,N/A,74.82,45.69
516,Filler,3312,N/A,N/A,17.53,30.68
517,Filler,1191,N/A,N/A,66.28,71.62
518,Filler,4589,N/A,N/A,29.24,0.54
519,Filler,953,N/A,N/A,93.17,86.45
520,Filler,7889,N/A,N/A,92.98,96.8
521,Filler,3515,N/A,N/A,74.81,24.28
522,Filler,1582,N/A,N/A,40.56,22.75
523,Filler,5538,N/A,N/A,71.17,73.78
524,Filler,5465,N/A,N/A,60.27,57.39
525,Filler,3844,N/A,N/A,56.41,7.82
526,Filler,875,N/A,N/A,72.57,44.3
527,Filler,6323,N/A,N/A,31.73,60.1
528,Filler,4548,N/A,N/A,61.1,19.28
529,Filler,2324,N/A,N/A,67.88,48.76
530,Filler,3433,N/A,N/A,18.68,56.9
531,Filler,5985,N/A,N/A,86.68,61.95
532,Filler,3726,N/A,N/A,28.65,11.75
533,Filler,1906,N/A,N/A,40.81,53.69
534,Filler,4396,N/A,N/A,68.57,96.75
535,Filler,3412,N/A,N/A,51.14,85.91
536,Filler,5104,N/A,N/A,66.11,14.95
537,Filler,2536,N/A,N/A,82.48,72.88
538,Filler,1335,N/A,N/A,46.02,50.32
539,Filler,6658,N/A,N/A,89.91,53.17
540,Filler,253,N/A,N/A,92.3,48.79
541,Filler,6366,N/A,N/A,36.52,58.96
542,Filler,3190,N/A,N/A,32.13,70.68
543,Filler,4276,N/A,N/A,98.81,64.35
544,Filler,6384,N/A,N/A,39.4,83.8
545,Filler,7718,N/A,N/A,93.87,97.8
546,Filler,5876,N/A,N/A,87.65,28.74
547,Filler,7043,N/A,N/A,75.57,55.86
548,Filler,518,N/A,N/A,78.61,49.81
549,Filler,4554,N/A,N/A,49.61,74.34
550,Filler,2441,N/A,N/A,96.33,41.56
551,Filler,5389,N/A,N/A,19.15,0.44
552,Filler,2913,N/A,N/A,23.44,37.13
553,Filler,1920,N/A,N/A,80.8,77.57
554,Filler,4832,N/A,N/A,57.02,93.34
555,Filler,7707,N/A,N/A,15.4,20.17
556,Filler,1012,N/A,N/A,48.83,41.45
557,Filler,169,N/A,N/A,31.96,23.5
558,Filler,337,N/A,N/A,95.86,66.42
559,Filler,5850,N/A,N/A,29.19,39.26
560,Filler,231,N/A,N/A,68.21,58.17
561,Filler,6202,N/A,N/A,14.12,29.41
562,Filler,1641,N/A,N/A,66.18,56.7
563,Filler,4064,N/A,N/A,55.85,20.92
564,Filler,325,N/A,N/A,3.49,5.89
565,Filler,2331,N/A,N/A,47.53,27.01
566,Filler,7351,N/A,N/A,35.2,0.45
567,Filler,6891,N/A,N/A,72.78,93.45
568,Filler,1490,N/A,N/A,48.03,77.18
569,Filler,2090,N/A,N/A,21.71,38.69
570,Filler,7722,N/A,N/A,95.25,13.35
