,sub,condition,hit,fa,dprime,response_type,probe_hit,probe_fa,probe_dprime,duration,property,Dist,RE
65,977b4b62-3cdc-477c-b88e-7a6b81efe90b,Dist_Large_RE_Large_2,,,,probe,0.154,0.015625,1.134,50.0,Dist_Large_RE_Large,Large,Large
66,a6af2a1e-3ffc-4337-a0e7-33fd28d45dc6,,0.025,0.025,0.0,image,,,,,,,
67,a6af2a1e-3ffc-4337-a0e7-33fd28d45dc6,Dist_Small_RE_Small_5,0.688,0.438,0.646,image,,,,84.0,Dist_Small_RE_Small,Small,Small
68,a6af2a1e-3ffc-4337-a0e7-33fd28d45dc6,Dist_Small_RE_Large_5,0.625,0.625,0.0,image,,,,84.0,Dist_Small_RE_Large,Small,Large
69,a6af2a1e-3ffc-4337-a0e7-33fd28d45dc6,Dist_Small_RE_Large_2,0.625,0.375,0.637,image,,,,50.0,Dist_Small_RE_Large,Small,Large
70,a6af2a1e-3ffc-4337-a0e7-33fd28d45dc6,Dist_Large_RE_Large_5,0.688,0.25,1.165,image,,,,84.0,Dist_Large_RE_Large,Large,Large
71,a6af2a1e-3ffc-4337-a0e7-33fd28d45dc6,Dist_Large_RE_Small_5,0.75,0.188,1.56,image,,,,84.0,Dist_Large_RE_Small,Large,Small
72,a6af2a1e-3ffc-4337-a0e7-33fd28d45dc6,Dist_Large_RE_Small_10,0.688,0.188,1.375,image,,,,167.0,Dist_Large_RE_Small,Large,Small
73,a6af2a1e-3ffc-4337-a0e7-33fd28d45dc6,Dist_Small_RE_Small_10,0.438,0.25,0.518,image,,,,167.0,Dist_Small_RE_Small,Small,Small
74,a6af2a1e-3ffc-4337-a0e7-33fd28d45dc6,Dist_Large_RE_Large_10,0.938,0.25,2.213,image,,,,167.0,Dist_Large_RE_Large,Large,Large
75,a6af2a1e-3ffc-4337-a0e7-33fd28d45dc6,Dist_Small_RE_Small_2,0.312,0.188,0.395,image,,,,50.0,Dist_Small_RE_Small,Small,Small
76,a6af2a1e-3ffc-4337-a0e7-33fd28d45dc6,Dist_Large_RE_Large_2,0.375,0.125,0.832,image,,,,50.0,Dist_Large_RE_Large,Large,Large
77,a6af2a1e-3ffc-4337-a0e7-33fd28d45dc6,Dist_Large_RE_Small_2,0.562,0.125,1.306,image,,,,50.0,Dist_Large_RE_Small,Large,Small
78,a6af2a1e-3ffc-4337-a0e7-33fd28d45dc6,Dist_Small_RE_Large_10,0.688,0.188,1.375,image,,,,167.0,Dist_Small_RE_Large,Small,Large
79,a6af2a1e-3ffc-4337-a0e7-33fd28d45dc6,,,,,probe,0.025,0.025,0.0,,,,
80,a6af2a1e-3ffc-4337-a0e7-33fd28d45dc6,Dist_Small_RE_Small_5,,,,probe,0.984375,0.182,3.062,84.0,Dist_Small_RE_Small,Small,Small
81,a6af2a1e-3ffc-4337-a0e7-33fd28d45dc6,Dist_Small_RE_Large_5,,,,probe,0.929,0.333,1.9,84.0,Dist_Small_RE_Large,Small,Large
82,a6af2a1e-3ffc-4337-a0e7-33fd28d45dc6,Dist_Small_RE_Large_2,,,,probe,0.917,0.35,1.77,50.0,Dist_Small_RE_Large,Small,Large
83,a6af2a1e-3ffc-4337-a0e7-33fd28d45dc6,Dist_Large_RE_Large_5,,,,probe,0.643,0.222,1.132,84.0,Dist_Large_RE_Large,Large,Large
84,a6af2a1e-3ffc-4337-a0e7-33fd28d45dc6,Dist_Large_RE_Small_5,,,,probe,0.692,0.105,1.755,84.0,Dist_Large_RE_Small,Large,Small
85,a6af2a1e-3ffc-4337-a0e7-33fd28d45dc6,Dist_Large_RE_Small_10,,,,probe,0.778,0.043,2.482,167.0,Dist_Large_RE_Small,Large,Small
86,a6af2a1e-3ffc-4337-a0e7-33fd28d45dc6,Dist_Small_RE_Small_10,,,,probe,0.857,0.333,1.499,167.0,Dist_Small_RE_Small,Small,Small
87,a6af2a1e-3ffc-4337-a0e7-33fd28d45dc6,Dist_Large_RE_Large_10,,,,probe,0.545,0.048,1.778,167.0,Dist_Large_RE_Large,Large,Large
88,a6af2a1e-3ffc-4337-a0e7-33fd28d45dc6,Dist_Small_RE_Small_2,,,,probe,0.286,0.015625,1.589,50.0,Dist_Small_RE_Small,Small,Small
89,a6af2a1e-3ffc-4337-a0e7-33fd28d45dc6,Dist_Large_RE_Large_2,,,,probe,0.583,0.05,1.854,50.0,Dist_Large_RE_Large,Large,Large
